"","GROUP","value","concept","variable","siteid","obs_value"
"1","ARDS_18_49",333,"patient","number","site_01",3
"2","ARDS_sup_49",2219,"patient","number","site_01",3
"3","NO_SEVERE_18_49",2200,"patient","number","site_01",3
"4","NO_SEVERE_sup_49",9367,"patient","number","site_01",3
"5","SEVERE_NO_ARDS_18_49",63,"patient","number","site_01",3
"6","SEVERE_NO_ARDS_sup_49",1330,"patient","number","site_01",3
"7","ARDS_18_49",13,"patient","18to25","site_01",3
"8","ARDS_18_49",320,"patient","26to49","site_01",3
"9","ARDS_sup_49",1259,"patient","50to69","site_01",3
"10","ARDS_sup_49",630,"patient","70to79","site_01",3
"11","ARDS_sup_49",330,"patient","80plus","site_01",3
"12","NO_SEVERE_18_49",228,"patient","18to25","site_01",3
"13","NO_SEVERE_18_49",1972,"patient","26to49","site_01",3
"14","NO_SEVERE_sup_49",3837,"patient","50to69","site_01",3
"15","NO_SEVERE_sup_49",2340,"patient","70to79","site_01",3
"16","NO_SEVERE_sup_49",3190,"patient","80plus","site_01",3
"17","SEVERE_NO_ARDS_18_49",5,"patient","18to25","site_01",3
"18","SEVERE_NO_ARDS_18_49",58,"patient","26to49","site_01",3
"19","SEVERE_NO_ARDS_sup_49",247,"patient","50to69","site_01",3
"20","SEVERE_NO_ARDS_sup_49",283,"patient","70to79","site_01",3
"21","SEVERE_NO_ARDS_sup_49",800,"patient","80plus","site_01",3
"22","ARDS_18_49",99,"patient","female","site_01",3
"23","ARDS_18_49",234,"patient","male","site_01",3
"24","ARDS_sup_49",635,"patient","female","site_01",3
"25","ARDS_sup_49",1584,"patient","male","site_01",3
"26","NO_SEVERE_18_49",955,"patient","female","site_01",3
"27","NO_SEVERE_18_49",1245,"patient","male","site_01",3
"28","NO_SEVERE_sup_49",4132,"patient","female","site_01",3
"29","NO_SEVERE_sup_49",5235,"patient","male","site_01",3
"30","SEVERE_NO_ARDS_18_49",25,"patient","female","site_01",3
"31","SEVERE_NO_ARDS_18_49",38,"patient","male","site_01",3
"32","SEVERE_NO_ARDS_sup_49",595,"patient","female","site_01",3
"33","SEVERE_NO_ARDS_sup_49",735,"patient","male","site_01",3
"34","ARDS_18_49",298,"patient","no previous contact","site_01",3
"35","ARDS_18_49",35,"patient","previous contact","site_01",3
"36","ARDS_sup_49",1916,"patient","no previous contact","site_01",3
"37","ARDS_sup_49",303,"patient","previous contact","site_01",3
"38","NO_SEVERE_18_49",1772,"patient","no previous contact","site_01",3
"39","NO_SEVERE_18_49",428,"patient","previous contact","site_01",3
"40","NO_SEVERE_sup_49",6992,"patient","no previous contact","site_01",3
"41","NO_SEVERE_sup_49",2375,"patient","previous contact","site_01",3
"42","SEVERE_NO_ARDS_18_49",48,"patient","no previous contact","site_01",3
"43","SEVERE_NO_ARDS_18_49",15,"patient","previous contact","site_01",3
"44","SEVERE_NO_ARDS_sup_49",902,"patient","no previous contact","site_01",3
"45","SEVERE_NO_ARDS_sup_49",428,"patient","previous contact","site_01",3
"46","ARDS_18_49",61,"status_at_90","death","site_01",3
"47","ARDS_sup_49",1008,"status_at_90","death","site_01",3
"48","NO_SEVERE_sup_49",1117,"status_at_90","death","site_01",3
"49","SEVERE_NO_ARDS_sup_49",840,"status_at_90","death","site_01",3
